n,q,eta,alpha,rays,cells,max_blackbox_relative_depth_error,mean_blackbox_relative_depth_error,max_blackbox_level_residual,blackbox_function_evaluations,max_cut_recovery_error,global_cells,global_preserved,incumbent_on_boundary,D_min_min,D_mean_mean,D_geo_geomean,mean_log_volume_multiplier,blackbox_seconds,cut_assembly_seconds,tol_cut,tol_cone
8,2,1,-0.75,29,120,2.59988389394401e-14,1.0993024583727e-14,9.76996261670138e-14,1287,1.87540933120793e-16,6,1,1,1.875,2.58504070810296,2.54626104816885,8.41163424791019,0.0080881,0.0340367,1e-09,1e-09
8,2,1.5,-0.25,29,120,3.00144798701492e-14,1.0399925516688e-14,9.76996261670138e-14,1280,2.34430891140662e-16,6,1,1,1.625,2.90325556281739,2.7529356579405,9.11401068844001,0.0084034,0.034789,1e-09,1e-09
8,2,1.5,-0.5,29,120,2.64610438132293e-14,8.10395495911148e-15,9.2370555648813e-14,1283,2.85161181446674e-16,6,1,1,1.75,3.12658291380333,2.96469993932053,9.78098243782348,0.0094014,0.0426345,1e-09,1e-09
8,2,1.5,-0.75,29,120,2.65764327131554e-14,1.07612258492941e-14,9.9475983006414e-14,1301,2.66150436016896e-16,6,1,1,1.875,3.34991026478926,3.17646422070055,10.401918281206,0.0084845,0.036484,1e-09,1e-09
6,3,0.25,-0.25,21,66,3.02803995901985e-14,1.41709482548588e-14,9.81437153768638e-14,904,2.68244493782024e-16,24,1,1,1.625,1.72014246870347,1.71856106058237,3.79041143601214,0.0059787,0.0170712,1e-09,1e-09
6,3,0.25,-0.5,21,66,2.8421709430404e-14,1.48929410000634e-14,9.9475983006414e-14,913,3.52711157754797e-16,24,1,1,1.75,1.8524611201422,1.85075806524255,4.30916724108819,0.0068129,0.0202658,1e-09,1e-09
6,3,0.25,-0.75,21,66,2.62588011812236e-14,1.33923759429053e-14,9.85878045867139e-14,937,2.368475785867e-16,24,1,1,1.875,1.98477977158094,1.98295506990274,4.79211734149688,0.0066076,0.0176466,1e-09,1e-09
6,3,0.5,-0.25,21,66,2.5898829980118e-14,1.21879449493371e-14,8.43769498715119e-14,919,2.63203319964003e-16,24,1,1,1.625,1.83519685982288,1.82757004508493,4.22091068189791,0.0064744,0.0174591,1e-09,1e-09
6,3,0.5,-0.5,21,66,2.68760542513944e-14,1.36528175182659e-14,9.41469124882133e-14,931,2.50931696175241e-16,24,1,1,1.75,1.97636584904003,1.96815235624531,4.73966648697397,0.0063386,0.017302,1e-09,1e-09
6,3,0.5,-0.75,21,66,2.49779950645837e-14,9.55008293074161e-15,9.37028232783632e-14,904,2.368475785867e-16,24,1,1,1.875,2.11753483825717,2.10873466740569,5.22261658738263,0.0062813,0.0167907,1e-09,1e-09
6,3,1,-0.25,21,66,2.85724495072081e-14,1.05547708554725e-14,9.2370555648813e-14,889,3.86114182529828e-16,24,1,1,1.625,2.16286545285843,2.11429348642187,5.2410449540284,0.0057566,0.0173337,1e-09,1e-09
6,3,1,-0.5,21,66,2.70409764491239e-14,1.02369639882809e-14,9.41469124882133e-14,895,4.88692345466107e-16,24,1,1,1.75,2.32923971846292,2.27693144691586,5.75980075910447,0.0063008,0.0174903,1e-09,1e-09
